fuente,source_record_id,fecha_hora,fecha,hora,aeropuerto_icao,aeropuerto_nombre,ciudad,provincia,fase_vuelo,descripcion,tipo_incidente,categoria_incidente,aeronave_modelo,aeronave_matricula,tipo_aeronave,condicion_meteorologica,condicion_luz,visibilidad_millas,viento_kt,latitud,longitud,lesionados,fatalidades,nivel_riesgo
JST,JST-RAW-109799769-23,2023-09-17T12:30:00,2023-09-17,1230,,,San Luis,San Luis,En tierra,"Accidente | F-POST (Fire/smoke Post-Impact), LOC-I (Loss of control - inflight) | Non-Commercial Operations / Pleasure / Otros | San Luis, San Luis","F-POST (Fire/smoke Post-Impact), LOC-I (Loss of control - inflight)",Seguridad operacional,,LV-GLQ,,,,,,-33.275,-66.35,0,0,Critico
JST,JST-RAW-112416337-23,2023-09-21T19:30:00,2023-09-21,1930,,,Buenos Aires,Buenos Aires,Rodaje,"Accidente | LOC-G (Loss of control -ground) | Non-Commercial Operations / Flight Training/Instructional / Dual | Buenos Aires, Buenos Aires",LOC-G (Loss of control -ground),Operacion,,LV-ZMN,,,,,,-35.638,-60.461,0,0,Alto
JST,JST-RAW-113031542-23,2023-09-23T20:20:00,2023-09-23,2020,,,San Fernando,Buenos Aires,Rodaje,"Incidente | LOC-G (Loss of control -ground) | Non-Commercial Operations / Pleasure / Otros | San Fernando, Buenos Aires",LOC-G (Loss of control -ground),Operacion,,LV-COV,,,,,,-34.455,-58.591,0,0,Alto
JST,JST-RAW-114756085-23,2023-09-27T00:00:00,2023-09-27,0000,,,Islas Malvinas - Rosario (SAAR),Santa Fe,Ascenso inicial,"Accidente | ARC (Abnormal runway contact), SCF-PP (Powerplant failure or malfunction) | Non-Commercial Operations / Flight Training/Instructional / Dual | Islas Malvinas - Rosario (SAAR), Santa Fe","ARC (Abnormal runway contact), SCF-PP (Powerplant failure or malfunction)",Pista,,LV-ONS,,,,,,-32.903,-60.784,0,0,Alto
JST,JST-RAW-115025976-23,2023-09-27T21:00:00,2023-09-27,2100,,,San Cayetano,Buenos Aires,Maniobra a baja altura,"Accidente | LALT (Low altitude operations) | Non-Commercial Operations / Test Flight / Post Maintenance Functional Check Flight | San Cayetano, Buenos Aires",LALT (Low altitude operations),Operacion,,LV-OHU,,,,,,-38.323,-59.427,0,0,Alto
JST,JST-RAW-118708414-23,2023-09-30T21:45:00,2023-09-30,2145,,,Rivadavia,Mendoza,Ascenso inicial,"Incidente | SCF-PP (Powerplant failure or malfunction) | Non-Commercial Operations / Pleasure / Local | Rivadavia, Mendoza",SCF-PP (Powerplant failure or malfunction),Tecnico,,LV-UX079,,,,,,-33.226,-68.489,0,0,Alto
JST,JST-RAW-119797612-23,2023-10-05T08:40:00,2023-10-05,0840,,,Ministro Pistarini -Ezeiza (SAEZ),Buenos Aires,Ascenso inicial,"Incidente | SCF-PP (Powerplant failure or malfunction) | Commercial Air Transport / Scheduled / Airline (domestic) | Ministro Pistarini -Ezeiza (SAEZ), Buenos Aires",SCF-PP (Powerplant failure or malfunction),Tecnico,,LV-KHO,,,,,,-34.559,-58.415,0,0,Alto
JST,JST-RAW-1740669-24,2023-10-08T21:40:00,2023-10-08,2140,,,Chascomus,Buenos Aires,Ascenso inicial,"Incidente | FUEL (Fuel related) | Specialised Operations / Aerial Work / Parachute drop | Chascomus, Buenos Aires",FUEL (Fuel related),Tecnico,,LV-GYC,,,,,,-35.542,-58.051,0,0,Alto
JST,JST-RAW-134231883-23,2023-11-05T11:40:00,2023-11-05,1140,,,Ingeniero Taravella - Córdoba (SACO),Cordoba,Ascenso inicial,"Incidente | SCF-NP (System/component failure or malfunction (No Powerplant), FUEL (Fuel related) | Commercial Air Transport / Scheduled / Airline (domestic) | Ingeniero Taravella - Córdoba (SACO), Cordoba","SCF-NP (System/component failure or malfunction (No Powerplant), FUEL (Fuel related)",Tecnico,,LV-GOO,,,,,,-31.31,-64.208,0,0,Alto
JST,JST-RAW-151508998-23,2023-11-06T11:20:00,2023-11-06,1120,,,Las Heras,Mendoza,Maniobra a baja altura,"Incidente | LALT (Low altitude operations), LOC-I (Loss of control - inflight) | Non-Commercial Operations / Pleasure / Otros | Las Heras, Mendoza","LALT (Low altitude operations), LOC-I (Loss of control - inflight)",Operacion,,LQ-BFB,,,,,,-32.772,-69.931,0,0,Critico
